Subscription_Type,Subject,language,Class,Chapter_Number,Chapter_Name,Chapter_Code,Exam_Type,Teacher_Name,PPT_Notes_Link
BASIC,Biology,English,Class 12th,1,Sexual Reproduction In Flowering Plants,BIOBRDENGSRF,Board,By Suraj sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Sexual_Reproduction_in_Flowering_Plants.pdf
BASIC,Biology,English,Class 12th,2,Human Reproduction,BIOBRDENGHRE,Board,By Shristi Ma'am,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Human_Reproduction.pdf
BASIC,Biology,English,Class 12th,3,Reproductive Health,BIOBRDENGRHE,Board,By Suraj sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Reproductive_Health.pdf
PREMIUM,Biology,English,Class 12th,4,Principles of Inheritance and Variation,BIOBRDENGPIV,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Principles_of_Inheritance_and_Variation.pdf
PREMIUM,Biology,English,Class 12th,7,Molecular Basis of Inheritance,BIOBRDENGMBI,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/BIOMPBENGMBI/CH.05 Molecular basis of Inheritance.pdf
PREMIUM,Biology,English,Class 12th,8,Evolution,BIOBRDENGEVO,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Evolution.pdf
PREMIUM,Biology,English,Class 12th,9,Microbes In Human Welfare,BIOBRDENGMHW,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Microbes_in_Human_Welfare.pdf
PREMIUM,Biology,English,Class 12th,10,Biotechnology Principles and Processes,BIOBRDENGBPP,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Biotechnology_Principles_and_Processes.pdf
PREMIUM,Biology,English,Class 12th,11,Biotechnology and its Applications,BIOBRDENGBTA,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Biotechnology_and_its_Applications.pdf
PREMIUM,Biology,English,Class 12th,12,Organisms and Population,BIOBRDENGOAP,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Organisms_and_Populations.pdf
PREMIUM,Biology,English,Class 12th,13,Ecosystem,BIOBRDENGECO,Board,By Ankush Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Ecosystem.pdf
PREMIUM,Biology,English,Class 12th,14,Biodiversity and Conservation,BIOBRDENGBNC,Board,By Suraj Sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/ENGLISH_MEDIUM/BIOLOGY/COMPLETE_NOTES/Biodiversity_and_Conservation.pdf
BASIC,Biology,Hindi,Class 12th,1,पुष्पीय पौधों में लैंगिक प्रजनन,BIOMPBHINSRF,Board,By Ankush sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/SRF/Puspi_padapo_me_laingik_janan_combined.pdf
BASIC,Biology,Hindi,Class 12th,2,मानव जनन,BIOMPBHINHRE,Board,By Ankush sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/HRE/Manav_Janan_combined.pdf
BASIC,Biology,Hindi,Class 12th,3,जनन स्वास्थ्य,BIOMPBHINRHE,Board,By Ankush sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/RHE/Janan_swasthya_combined.pdf
PREMIUM,Biology,Hindi,Class 12th,4,वंशागति तथा विविधता के सिद्धांत,BIOMPBHINPIV,Board,By Suraj sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/PIV/Vanshagati_evam_vividhata_ke_siddhant_combined.pdf
PREMIUM,Biology,Hindi,Class 12th,5,वंशागति के आणविक आधार,BIOMPBHINMBI,Board,By Suraj sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/MBI/Vanshagati_ke_Anvik_Adhar.pdf
PREMIUM,Biology,Hindi,Class 12th,6,विकास,BIOMPBHINEVO,Board,By Suraj sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/EVO/Vikas_combined.pdf
PREMIUM,Biology,Hindi,Class 12th,7,पारितंत्र,BIOMPBHINECO,Board,By Ankush sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/ECO/Paritntra_combined.pdf
PREMIUM,Biology,Hindi,Class 12th,8,मानव स्वास्थ्य तथा रोग,BIOMPBHINHHD,Board,By Ankush sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/HHD/BIOMPBHINHHD_Combined.pdf
PREMIUM,Biology,Hindi,Class 12th,9,मानव कल्याण में सूक्ष्मजीव,BIOMPBHINMHW,Board,By Ankush sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/MHW/BIOMPBHINMHW_Combined.pdf
PREMIUM,Biology,Hindi,Class 12th,10,जैव प्रौद्योगिकी : सिद्धांत एवं प्रक्रम,BIOMPBHINBPP,Board,By Surbhi Mam,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/BPP/BIOMPBHINBPP_Combined.pdf
PREMIUM,Biology,Hindi,Class 12th,11,जैव प्रौद्योगिकी और इसके उपयोग,BIOMPBHINBTA,Board,By Surbhi Mam,2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/BTA/BIOMPBHINBTA_Combined.pdf
PREMIUM,Biology,Hindi,Class 12th,12,जीव और समष्टियां,BIOMPBHINOAP,Board,By Ankush sir,https://dm80t6147awlm.cloudfront.net/2025_BOARD/MP_BOARD_2025/HINDI_MEDIUM/BIOLOGY/OAP/Jeev_Evam_Samasthiya_combined.pdf
