id,Title,Subject,download_link,sample_paper_id,Class,Exam_Type,language,Subscription_Type,board_type,year
MPBSE_1,Biology 2016,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/BIO-2016.pdf,MPBSE_1,Class 12th,Board,Hindi,Basic,MPBSE,2016
MPBSE_2,Biology 2018,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/mp-board-class-12-biology-i237-2018.pdf,MPBSE_2,Class 12th,Board,Hindi,Basic,MPBSE,2018
MPBSE_3,Biology 2019,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/+%E0%A4%9C%E0%A5%80%E0%A4%B5+%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A5%8D%E0%A4%9E%E0%A4%BE%E0%A4%A8-2019+.pdf,MPBSE_3,Class 12th,Board,Hindi,Basic,MPBSE,2019
MPBSE_4,Biology 2020,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/mp-board-class-12-biology-e-824-2020.pdf,MPBSE_4,Class 12th,Board,Hindi,Basic,MPBSE,2020
MPBSE_5,Biology 2021,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/mp-board-class-12-biology-o-324-2021.pdf,MPBSE_5,Class 12th,Board,Hindi,Basic,MPBSE,2021
MPBSE_6,Biology 2022,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Biology+2022+E-231.pdf,MPBSE_6,Class 12th,Board,Hindi,Basic,MPBSE,2022
MPBSE_7,Biology 2023,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Biology+2023+Set+A.pdf,MPBSE_7,Class 12th,Board,Hindi,Basic,MPBSE,2023
MPBSE_8,Biology 2024,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Class+12th+Biology+2024+Set+A.pdf,MPBSE_8,Class 12th,Board,Hindi,Basic,MPBSE,2024
MPBSE_9,Biology 2025,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_BOARD_Biology_2025.pdf,MPBSE_9,Class 12th,Board,Hindi,Basic,MPBSE,2025
MPBSE_10,Chemistry 2016,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/CHEM-2016.pdf,MPBSE_10,Class 12th,Board,Hindi,Basic,MPBSE,2016
MPBSE_11,Chemistry 2017,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/CHEM-2017.pdf,MPBSE_11,Class 12th,Board,Hindi,Basic,MPBSE,2017
