Subscription_Type,Subject,language,Class,Exam_Type,notes_id,subjectId,Chapter_Number,final_title,Chapter_Name,Toppers_Notes_link,Toppers_Name
BASIC,Maths,English,Class 12th,Board,MPB_mat_eng_12_note1,,1,Relations and Functions,Relations and Functions,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-01 Relation and Functions.pdf,Priyal Dwivedi
BASIC,Maths,English,Class 12th,Board,MPB_mat_eng_12_note4,,2,Inverse Trigonometric Functions,Inverse Trigonometric Functions,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-02 Inverse Trigonometric Functions.pdf,Priyal Dwivedi
BASIC,Maths,English,Class 12th,Board,MPB_mat_eng_12_note3,,3,Matrices,Matrices,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-03 Matrices.pdf,Priyal Dwivedi
PREMIUM,Maths,English,Class 12th,Board,MPB_mat_eng_12_note2,,4,Determinants,Determinants,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-04 Determinants.pdf,Priyal Dwivedi
PREMIUM,Maths,English,Class 12th,Board,MPB_mat_eng_12_note5,,5,Continuity and Differentiability,Continuity and Differentiability,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-05 Continuity and Differentiability.pdf,Priyal Dwivedi
PREMIUM,Maths,English,Class 12th,Board,MPB_mat_eng_12_note6,,6,Application of Derivatives,Application of Derivatives,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-06 Application of Derivatives.pdf,Priyal Dwivedi
PREMIUM,Maths,English,Class 12th,Board,MPB_mat_eng_12_note7,,7,Indefinite Integration,Indefinite Integration,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-07 integrals.pdf,Priyal Dwivedi
PREMIUM,Maths,English,Class 12th,Board,MPB_mat_eng_12_note8,,7,Definite Integration,Definite Integration,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-07 integrals.pdf,Priyal Dwivedi
PREMIUM,Maths,English,Class 12th,Board,MPB_mat_eng_12_note9,,8,Application of Integrals,Application of Integrals,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/MATHS/COMPRESSED/Chapter-08 Application of Integrals.pdf,Priyal Dwivedi
BASIC,Biology,English,Class 12th,Board,MPB_bio_eng_12_note1,,1,Sexual Reproduction In Flowering Plants,Sexual Reproduction In Flowering Plants,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/BIOLOGY/COMPRESSED/chapter 1 Sexual Reproduction in Flowering Plants (1).pdf,Priyal Dwivedi
BASIC,Biology,English,Class 12th,Board,MPB_bio_eng_12_note2,,2,Human Reproduction,Human Reproduction,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/BIOLOGY/COMPRESSED/chapter 2 Human Reproduction (1).pdf,Priyal Dwivedi
BASIC,Biology,English,Class 12th,Board,MPB_bio_eng_12_note3,,3,Reproductive Health,Reproductive Health,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/BIOLOGY/COMPRESSED/chapter 3 Reproductive Health.pdf,Priyal Dwivedi
PREMIUM,Biology,English,Class 12th,Board,MPB_bio_eng_12_note4,,4,Principles of Inheritance and Variation,Principles of Inheritance and Variation,https://d26ziiio1s8scf.cloudfront.net/NOTES/ENGLISH/BIOLOGY/COMPRESSED/CHAPTER 04- PRINCIPAL OF INHERITANCE AND VARIATION (1).pdf,Priyal Dwivedi
